codigo_barras,nome_produto,descricao
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,SHEFA LEITE INTEGRAL GFA.1LT
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,L SHEFA SM DES 1L PT-UN
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE L.V.TIROL INT.
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE L V SHEFA INTEGRAL GARRAFA 1LT
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE TIROL UHT 1LT SEMI DESNA UNIDADE
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE SEMI DESNATADO
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA SEMI DESNAT
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE L.V.SHEFA GFA.INTEGRAL 1
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE LV TIROL 1LT S
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,SHEFA LEITE PET SEMIDESNATADO 1 L
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE TIROL 1L SEMI DESNATADO
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA SEMI DESNATADO GARRAFA 1LT
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE TIROL DES 1 L
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE UHT SHEFA 1LT
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE TP TIROL 1L SEMI D
7896569400220,LEITE UHT DESNATADO LIDER TP 1000ML,LEITE LIDER 1L DESNATADO
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE TIROL SEMIDESNAT
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE L.V TIROL INTEGRAL 1L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE L.VIDA SHEFA 1L GF
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE L VIDA SHEFA 1L DESNATAD
7896569400244,LEITE UHT INTEGRAL LIDER TP CAIXA 12 X 1000ML,LEITE LIDER TP 1L IN
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE TIROL 1 L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE INTEGRAL SHEFA GAR 1
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE LONGA TIROL
7896569400220,LEITE UHT DESNATADO LIDER TP 1000ML,LEITE L.V.LIDER 1000ML DESNAT
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE INTE. TIROL
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA S D UHT 1L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE TIROL INTEGRAL 1LITRO
7896569400268,LEITE UHT DESNATADO LIDER TP CAIXA 12 X 1000ML,LEITE L V LID
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE LONGA VIDA TIROL 1L
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE UHT SHEFA PET 1L DESNATADO
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,SHEFA DESNATADO 1L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE INTEG SHEFA 1LT
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA DES
7896569400213,LEITE UHT SEMI DESNATADO LIDER TP 1000ML,LEITE LIDER UHT SEMI TP 1L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE LV INTEG TP100
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA
7896569400220,LEITE UHT DESNATADO LIDER TP 1000ML,LEITE L VIDA-LIDER 1LT DESNATA
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEIT GRF SHEFA 1L SEM
7896569400244,LEITE UHT INTEGRAL LIDER TP CAIXA 12 X 1000ML,LEIT LIDER INT C/12
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA 1 L GRF DESNATADO
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA 1LT SEMI DESNATADO GARR
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE L VIDA SHEFA DESNATADO G
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE LV 1L TIROL SEMI DESNATADO
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LTE LV SHEFA DESN
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEIT SHEFA GARR SEMI 1LT
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA INT.1LT.
7896256600339,LEITE UHT INTEGRAL TIROL TP CAIXA 12 X 1000ML,LEITE INTEG TIROL 1L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,##04012010#PP LEITE TIROL INT UN
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA S/D.GF.1
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE TIROL SEMI 1LT
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE L/VIDA TIROL 1L DESNATADO
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,##04012010#LEITE TIROL 1L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE LV. TIROL INT.1
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE UHT INTEGRAL TIROL / 1L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE INTEGRAL TIROL1 LTR
7896569400244,LEITE UHT INTEGRAL LIDER TP CAIXA 12 X 1000ML,LEITE L.V LIDER INT.12X1LT
